Line,Construction,verb,rec,rec.def,rec.pron,rec.anim,thm,thm.def,thm.pron,thm.anim
cos like they gave me a description of where she was like,gave me a description of where she was,gave,me,Def,pronoun,Anim,a description of where she was,Indef,non,Inanim
oh I gave him a day's wages for it .,gave him a day's wages,gave,him,Def,pronoun,Anim,a day's wages,Indef,non,Inanim
<mmm> and I mean it was costing me two hunded dollars return  I,costing me two hunded dollars,costing,me,Def,pronoun,Anim,two hunded dollars,Indef,non,Inanim
so it's still going to cost you money,cost you money,cost,you,Def,pronoun,Anim,money,Indef,non,Inanim
okay well I'll give it one more go,give it one more go,give,it,Def,pronoun,Inanim,one more go,Indef,non,Inanim
so I'll give it another go .,give it another go .,give,it,Def,pronoun,Inanim,another go,Indef,non,Inanim
and it's like oh I'll give it a go .,give it a go .,give,it,Def,pronoun,Inanim,a go,Indef,non,Inanim
I gave um . Pete a sumo at the gate,gave um . Pete a sumo,gave,Pete,Def-pn,non,Anim,a sumo,Indef,non,Inanim
to give us .,give us . foundation for improvising,give,us,Def,pronoun,Anim,foundation for improvising,Indef,non,Inanim
showed us some stuff on the mandolin . um .,showed us some stuff,showed,us,Def,pronoun,Anim,some stuff,Indef,non,Inanim
so people would give us the money .,give us the money .,give,us,Def,pronoun,Anim,the money,Def,non,Inanim
we justified it saying they didn't pay us enough <>,pay us enough <>,pay,us,Def,pronoun,Anim,enough,Def,non,Inanim
you know they're trying to tell you . the s- symbolisms . yeah .,tell you . the s- symbolisms .,tell,you,Def,pronoun,Anim,the symbolisms,Def,non,Inanim
cos it's being controlled somebody else has told him what it -,told him what it - it's supposed to be like .,told,him,Def,pronoun,Anim,what it 's supposed to be like,Indef,non,Inanim
and then . oh and they gave me special food .,gave me special food .,gave,me,Def,pronoun,Anim,special food,Indef,non,Inanim
that I'm going to do it so I'm going to give it all I've got .,give it all I've got .,give,it,Def,pronoun,Inanim,all I 've got,Def,non,Inanim
oh I gave everything a go really -,gave everything a go,gave,everything,Def,non,Inanim,a go,Indef,non,Inanim
m~ he's paid  yeah me I a worked dollar for an him hour for I three was a bit pissed off he didn't pay me for three months   and,paid me a dollar an hour,paid,me,Def,pronoun,Anim,a dollar an hour,Indef,non,Inanim
and then . they'd pay us a set amount each month,pay us a set amount,pay,us,Def,pronoun,Anim,a set amount,Indef,non,Inanim
. and I'll give her a ride home of course <mmm> or you know whatever,give her a ride home,give,her,Def,pronoun,Anim,a ride home,Indef,non,Inanim
didn't go up opening morning ? I just finished telling you that,telling you that,telling,you,Def,pronoun,Anim,that,Def,pronoun,Inanim
red light's still going . and we pushed this little escort and gave them a push start -,gave them a push start -,gave,them,Def,pronoun,Anim,a push start,Indef,non,Inanim
bout fifteen I offered Mum a joint but . she um . sort of said no .,offered Mum a joint,offered,Mum,Def-pn,non,Anim,a joint,Indef,non,Inanim
but that . costs us a fortune,costs us a fortune,costs,us,Def,pronoun,Anim,a fortune,Indef,non,Inanim
'cept the problem was . her and her mate held me down one night and gave me nine hickeys .,gave me nine hickeys .,gave,me,Def,pronoun,Anim,nine hickeys,Indef,non,Inanim
cost us an arm and a leg we were only there had to be out by nine .,cost us an arm and a leg,cost,us,Def,pronoun,Anim,an arm and a leg,Indef,non,Inanim
so that cost . cost Bronnie's old man a fortune but . I think he enjoyed it --,cost Bronnie's old man a fortune,cost,Bronnie's old man,Def,non,Anim,a fortune,Indef,non,Inanim
/so I c~/ . . . . . . . . . ./you/ can the give me the B out of your B.A. .,give me the B out of your B.A. .,give,me,Def,pronoun,Anim,the B out of your BA,Def,non,Inanim
I tell you what she said the other . the other week,tell you what she said the other . the other week,tell,you,Def,pronoun,Anim,what she said the other week,Indef,non,Inanim
but James wa~ wanted was trying to sell me his um . Hillman gunter,sell me his um . Hillman gunter,sell,me,Def,pronoun,Anim,his Hillman gunter,Def,non,Inanim
so when am I going to give you a spar again? -,give you a spar,give,you,Def,pronoun,Anim,a spar,Indef,non,Inanim
give him a ring,give him a ring,give,him,Def,pronoun,Anim,a ring,Indef,non,Inanim
actually he was trying to sell me his collection of tapes the other day <yeah?> .,sell me his collection of tapes,sell,me,Def,pronoun,Anim,his collection of tapes,Def,non,Inanim
um . I'll start off by telling you a little bit about myself . um .,telling you a little bit about myself .,telling,you,Def,pronoun,Anim,a little bit about myself,Indef,non,Inanim
um . yeah . just gives me a chance to unwind at the end of the week . um .,gives me a chance to unwind,gives,me,Def,pronoun,Anim,a chance to unwind,Indef,non,Inanim
he was giving me the third degree,giving me the third degree,giving,me,Def,pronoun,Anim,the third degree,Def,non,Inanim
choice but -- they give it heaps eh,give it heaps,give,it,Def,pronoun,Inanim,heaps,Indef,non,Inanim
just took the bibles and . that was it but sometimes they gave you a bit of an earful and . <right> um,gave you a bit of an earful,gave,you,Def,pronoun,Anim,a bit of an earful,Indef,non,Inanim
I didn't tell them anything . <oh> no . but ah so he,tell them anything .,tell,them,Def,pronoun,Anim,anything,Indef,non,Inanim
or I didn't give him the answers that he was sort of after as far as that was concerned .,give him the answers that he was sort of after,give,him,Def,pronoun,Anim,the answers that he was after,Def,non,Inanim
um so . we prayed that he'd come back . and give us our passports,give us our passports,give,us,Def,pronoun,Anim,our passports,Def,non,Inanim
ahh it's not though because they charge me fifty dollars at home a week .,charge me fifty dollars,charge,me,Def,pronoun,Anim,fifty dollars,Indef,non,Inanim
and with five people at the flat it's only costing me forty five dollars,costing me forty five dollars,costing,me,Def,pronoun,Anim,forty five dollars,Indef,non,Inanim
yeah . yeah but I mean it'd cost you a fair bit .,cost you a fair bit .,cost,you,Def,pronoun,Anim,a fair bit,Indef,non,Inanim
and we told him to turn his lights on and he gave us a big wave . and it was alright from there <ahh>,gave us a big wave .,gave,us,Def,pronoun,Anim,a big wave,Indef,non,Inanim
gave me a speeding ticket for one hundred and thirtyseven cos that's what his hawk picked me up at doing .,gave me a speeding ticket,gave,me,Def,pronoun,Anim,a speeding ticket,Indef,non,Inanim
which gave him a sizeable grant to .,gave him a sizeable grant,gave,him,Def,pronoun,Anim,a sizeable grant,Indef,non,Inanim
I gave it a miss - which I thought was um .,gave it a miss -,gave,it,Def,pronoun,Inanim,a miss,Indef,non,Inanim
so they paid me three fifteen and then taxed it .,paid me three fifteen,paid,me,Def,pronoun,Anim,three fifteen,Indef,non,Inanim
gave my daughter breakfast and . I had a shower my daughter had a shower I got her dressed,gave my daughter breakfast,gave,my daughter,Def,non,Anim,breakfast,Indef,non,Inanim
touching up a couple of rather small areas of surface rust and giving it a paint job and replacing,giving it a paint job,giving,it,Def,pronoun,Inanim,a paint job,Indef,non,Inanim
would roughly give me a hundred thousand dollars -,give me a hundred thousand dollars -,give,me,Def,pronoun,Anim,a hundred thousand dollars,Indef,non,Inanim
and showed her the places where I used to hang out .,showed her the places where I used to hang out .,showed,her,Def,pronoun,Anim,the places where I used to hang out,Def,non,Inanim
and . I was just trying to show her a good time -,show her a good time -,show,her,Def,pronoun,Anim,a good time,Indef,non,Inanim
it didn't cost me that much because a mate had it before me -,cost me that much,cost,me,Def,pronoun,Anim,that much,Def,non,Inanim
yeah they they were giving him funny looks by the time he was getting down,giving him funny looks,giving,him,Def,pronoun,Anim,funny looks,Indef,non,Inanim
which is gonna cost me about thirty five dollars a week,cost me about thirty five dollars,cost,me,Def,pronoun,Anim,about thirty five dollars,Indef,non,Inanim
it was only for three days <oh really> so he gave him the rest of the week and then .,gave him the rest of the week,gave,him,Def,pronoun,Anim,the rest of the week,Def,non,Inanim
it cost them <popular> it cost them thousands to do that <oh>,cost them thousands,cost,them,Def,pronoun,Anim,thousands,Indef,non,Inanim
um - I ah then I went so we driving the forklift right and then they just gave me more work after that and then they,gave me more work,gave,me,Def,pronoun,Anim,more work,Indef,non,Inanim
about three months of sort of like . I got my friend to write him a letter and um yeah <your friend ?>,write him a letter,write,him,Def,pronoun,Anim,a letter,Indef,non,Inanim
and ahh no he um he didn't turn up and . in the end they've just awarded me um .,awarded me um . one thousand five hundred bucks worth of um . of compensation and stuff,awarded,me,Def,pronoun,Anim,one thousand five hundred bucks worth of compensation and stuff,Indef,non,Inanim
<oh> cos it~ its contract so . it~ it's quite good like um - you g~ you g~ you get a container and then you look at the repair sheet and it tells you oh what it needs repairing on it because  - you,tells you oh what it needs repairing,tells,you,Def,pronoun,Anim,what it needs repairing,Indef,non,Inanim
yeah she enjoyed it that much that she uh sent me ten CDs back from . <>,sent me ten CDs,sent,me,Def,pronoun,Anim,ten CDs,Indef,non,Inanim
I I'll I'll tell you all about how I sort of started,tell you all about how I sort of started getting <ok> into that sort of stuff,tell,you,Def,pronoun,Anim,all about how I started getting into that sort of stuff,Def,non,Inanim
the customers get more embarrassed about serving them condoms than we do eh .,serving them condoms,serving,them,Def,pronoun,Anim,condoms,Indef,non,Inanim
um Tim McClennan gave me Post for my birthday <score> and then,gave me Post,gave,me,Def,pronoun,Anim,Post,Def-pn,non,Inanim
so the guy from Galaxy is going to give me a ring and say I've got you some .,give me a ring,give,me,Def,pronoun,Anim,a ring,Indef,non,Inanim
actually no I'll give him a ring tomorrow .,give him a ring,give,him,Def,pronoun,Anim,a ring,Indef,non,Inanim
oh okay well I'll tell you the whole story .,tell you the whole story .,tell,you,Def,pronoun,Anim,the whole story,Def,non,Inanim
and ahh oh let me tell you . another story,tell you . another story,tell,you,Def,pronoun,Anim,another story,Indef,non,Inanim
yeah . I I can't say it's taught me anything in particular through life,taught me anything in particular,taught,me,Def,pronoun,Anim,anything in particular,Indef,non,Inanim
<mmm> but it's just taught me something about kayaking,taught me something about kayaking,taught,me,Def,pronoun,Anim,something about kayaking,Indef,non,Inanim
and then I was there for three weeks and they offered me an apprenticeship -- so um --,offered me an apprenticeship --,offered,me,Def,pronoun,Anim,an apprenticeship,Indef,non,Inanim
 - and pictures and sorta gave me these pictures I was sorta looking,gave me these pictures,gave,me,Def,pronoun,Anim,these pictures,Def,non,Inanim
and then Marie wrote me a letter back,wrote me a letter back,wrote,me,Def,pronoun,Anim,a letter back,Indef,non,Inanim
you always knew if someone gave you .,gave you . a drill or something,gave,you,Def,pronoun,Anim,a drill or something,Indef,non,Inanim
give her some warm clothing polyprops and gloves and hat and stuff like that -,give her some warm clothing,give,her,Def,pronoun,Anim,some warm clothing,Indef,non,Inanim
small little things that . you take for granted we can make them   anything,make them   anything we . anything the customer wants,make,them,Def,pronoun,Inanim,anything the customer wants,Indef,non,Inanim
we'll give you one more chance.,give you one more chance.,give,you,Def,pronoun,Anim,one more chance,Indef,non,Inanim
you wouldn't want to go I teaching people the wrong stroke patterns and stuff /like that/,teaching people the wrong stroke patterns and stuff /like that/,teaching,people,Indef,non,Anim,the wrong stroke patterns and stuff like that,Def,non,Inanim
I suppose it gives the character /its character . yeah/,gives the character /its character .,gives,the character,Def,non,Inanim,its character,Def,non,Inanim
Mark must've told Paul the story . so as soon as she came back -,told Paul the story .,told,Paul,Def-pn,non,Anim,the story,Def,non,Inanim
and ahh . nah so we yeah I just think you know the beers are cheap and we we know old Mike Peters down there and stuff like that so he normally gives you .,gives ya .  two,gives,you,Def,pronoun,Anim,two,Indef,non,Inanim
two for the price of one or gives you your . vodka and cokes in .,gives ya your . vodka and cokes,gives,you,Def,pronoun,Anim,your vodka and cokes,Def,non,Inanim
and he said oh right well cos we're going along pretty slow I might have to write him a note so .,write him a note,write,him,Def,pronoun,Anim,a note,Indef,non,Inanim
don't know if he's gonna write him a note saying look I'm not ready to go back I don't know,write him a note,write,him,Def,pronoun,Anim,a note,Indef,non,Inanim
oh they already give us some shit anyway cos it was like .,give us some shit,give,us,Def,pronoun,Anim,some shit,Indef,non,Inanim
to give us a fixture date,give us a fixture date,give,us,Def,pronoun,Anim,a fixture date,Indef,non,Inanim
so we were all we were all giving him a hard time about that,giving him a hard time about that,giving,him,Def,pronoun,Anim,a hard time about that,Indef,non,Inanim
um someone gave him a moustache,gave him a moustache,gave,him,Def,pronoun,Anim,a moustache,Indef,non,Inanim
left like . got the left over steak and made me this like hamburger .,made me this like hamburger .,made,me,Def,pronoun,Anim,this hamburger,Def,non,Inanim
<yum> and you know when your mum makes you like a nice hamburger lunch you're just kinda like oh .,makes you like a nice hamburger lunch,makes,you,Def,pronoun,Anim,a nice hamburger lunch,Indef,non,Inanim
and then . I . my auntie gave me a call and there was a um . well not my real auntie .,gave me a call,gave,me,Def,pronoun,Anim,a call,Indef,non,Inanim
um and he goes oi oh nah he just gave her a text and goes oi Matty just .,gave her a text,gave,her,Def,pronoun,Anim,a text,Indef,non,Inanim
so he just taught them real cheap ways to do that .,taught them real cheap ways to do that .,taught,them,Def,pronoun,Anim,real cheap ways to do that,Indef,non,Inanim
yeah in bush . so like for my birthday mum made me like this um .   like,made me like this um .   like these giant cardboard golden arches,made,me,Def,pronoun,Anim,these giant cardboard golden arches,Indef,non,Inanim
and . she made me cheese burgers and like I had a like like all the other missionary kids around .   so,made me cheese burgers,made,me,Def,pronoun,Anim,cheese burgers,Indef,non,Inanim
er he just ahh didn't really tell us much about that . .,tell us much about that . .,tell,us,Def,pronoun,Anim,much about that,Indef,non,Inanim
a box set or whatever and you . show it gives you instructions on how to make it .,gives you instructions on how to make it .,gives,you,Def,pronoun,Anim,instructions on how to make it,Indef,non,Inanim
yeah it's just like people from overseas and stuff they're not so keen to give you a job now cos they haven't got jobs for the people,give you a job,give,you,Def,pronoun,Anim,a job,Indef,non,Inanim
you tell them I'm not buying it . they'll come around if you offer them something a bit less so <yeah> .,offer them something a bit less,offer,them,Def,pronoun,Anim,something a bit less,Indef,non,Inanim
more or less . trying to give you a feeling for the social implications of being an engineer,give you a feeling for the social implications of being an engineer,give,you,Def,pronoun,Anim,a feeling for the social implications of being an engineer,Indef,non,Inanim
but there was one young fellow we dec yeah we gave him a good hosing down and he always used to be a classic he'd just stand in the shower,gave him a good hosing down,gave,him,Def,pronoun,Anim,a good hosing down,Indef,non,Inanim
more or less just had to casually walk back give them a smile and a wave and back into my shower,give them a smile,give,them,Def,pronoun,Anim,a smile,Indef,non,Inanim
oh Gillian was just ah wondering was I gonna give him a bath and I was saying just not at the moment I'll just open the door and see -   what's,give him a bath,give,him,Def,pronoun,Anim,a bath,Indef,non,Inanim
I just sort of know well I've got to go down to work in a day or two's time I couldn't have told you what day it was,told you what day it was,told,you,Def,pronoun,Anim,what day it was,Indef,non,Inanim
or just giving me the opportunity to get,giving me the opportunity,giving,me,Def,pronoun,Anim,the opportunity,Def,non,Inanim
perhaps it wasn't the course wasn't as practical as what it could be or showing you the applications more,showing you the applications,showing,you,Def,pronoun,Anim,the applications,Def,non,Inanim
he went over to give him a hand one summer -,give him a hand,give,him,Def,pronoun,Anim,a hand,Indef,non,Inanim
but they have given us . nothing nothing that I can see that that that .,given us . nothing nothing that I can see that that that . will help to build the family unit,given,us,Def,pronoun,Anim,nothing,Indef,non,Inanim
no they didn't give me a pen cos I won heaps of prizes,give me a pen,give,me,Def,pronoun,Anim,a pen,Indef,non,Inanim
she finally . Mary told me what the woman meant .,told me what the woman meant .,told,me,Def,pronoun,Anim,what the woman meant,Indef,non,Inanim
I won't tell you what he shook . ahh -,tell you what he shook .,tell,you,Def,pronoun,Anim,what he shook,Indef,non,Inanim
and then they offered me a position down here which which ahh,offered me a position down here,offered,me,Def,pronoun,Anim,a position down here,Indef,non,Inanim
ahh totally a career move and ahh they offered me a position that .,offered me a position,offered,me,Def,pronoun,Anim,a position that Career wise I was pretty interested in,Indef,non,Inanim
but um was yeah sort of prepared to give it a go so that's how I jumped into it about June ninety two so nearly a couple of years ago .,give it a go,give,it,Def,pronoun,Inanim,a go,Indef,non,Inanim
maybe a wee bit out of my line < > . yeah . yeah . just . yeah . happen to find one for about twenty bucks . give us a yell .,give us a yell .,give,us,Def,pronoun,Anim,a yell,Indef,non,Inanim
relatively cheaply I mean I think the most expensive room inside . has cost us about fifty bucks .,cost us about fifty bucks .,cost,us,Def,pronoun,Anim,about fifty bucks,Indef,non,Inanim
I really recommend if anybody's interesting just give me a ring my phone number's three five eight eight two seven one .,give me a ring,give,me,Def,pronoun,Anim,a ring,Indef,non,Inanim
yeah we . ar . give her heaps .,give her heaps .,give,her,Def,pronoun,Anim,heaps,Indef,non,Inanim
so <I see> always putting practical jokes I owe her a few -,owe her a few -,owe,her,Def,pronoun,Anim,a few,Indef,non,Inanim
and this woman showed us this like this menu kind of thing like a thing a,showed us this like this menu kind of thing,showed,us,Def,pronoun,Anim,this menu,Def,non,Inanim
terrible I don't know who told you that,told you that,told,you,Def,pronoun,Anim,that,Def,pronoun,Inanim
I um . wouldn't mind . moving companies probably in a couple of years um . I'll give this .,give this .   job a bit more of a thrashing,give,this job,Def,non,Inanim,a bit more of a thrashing,Indef,non,Inanim
yeah they gave me a writer well I mean I couldn't write you know . was fair enough .,gave me a writer,gave,me,Def,pronoun,Anim,a writer,Indef,non,Anim
and he goes well what we'll do is we'll like um we'll give you the same mark for the second test .,give you the same mark,give,you,Def,pronoun,Anim,the same mark,Def,non,Inanim
and he goes he goes okay we'll give you another p~ ten percent on top of that I'm going - okay .,give you another p~ ten percent,give,you,Def,pronoun,Anim,another ten percent,Indef,non,Inanim
I mean I don't care how good I am like . I tell you what I I like basketball .,tell you what,tell,you,Def,pronoun,Anim,what,Indef,non,Inanim
<yeah> . so why would he give us the ability to s~ to .,give us the ability to s~ to .   find something out,give,us,Def,pronoun,Anim,the ability to find something out,Def,non,Inanim
so why would he give us the ability to in theory <mmm>,give us the ability to in theory <mmm>   prove himself wrong,give,us,Def,pronoun,Anim,the ability to in theory prove himself wrong,Def,non,Inanim
if I can recall he told me a few stories but .,told me a few stories,told,me,Def,pronoun,Anim,a few stories,Indef,non,Inanim
not . fully but you know just giving them a bit,giving them a bit of a hand out,giving,them,Def,pronoun,Anim,a bit of a hand out,Indef,non,Inanim
that . project . cost me . a fortune,cost me . a fortune,cost,me,Def,pronoun,Anim,a fortune,Indef,non,Inanim
um . and in fact the whole assignment cost me about two grand,cost me about two grand,cost,me,Def,pronoun,Anim,about two grand,Indef,non,Inanim
we couldn't really give you first prize because .,give you first prize,give,you,Def,pronoun,Anim,first prize,Indef,non,Inanim
so I was really surprised when he sent me that tape,sent me that tape,sent,me,Def,pronoun,Anim,that tape,Def,non,Inanim
wore bermuda shorts <> and brought everyone beers in the pub,brought everyone beers,brought,everyone,Def,non,Anim,beers,Indef,non,Inanim
in January they send you a little parcel and it says .,send you a little parcel,send,you,Def,pronoun,Anim,a little parcel,Indef,non,Inanim
they tell you everything you need to know,tell you everything you need to know,tell,you,Def,pronoun,Anim,everything you need to know,Def,non,Inanim
no not really they just tell you what to do there's nothing to it . you walk up .,tell you what to do,tell,you,Def,pronoun,Anim,what to do,Indef,non,Inanim
you shake with your right hand they tell you this,tell you this,tell,you,Def,pronoun,Anim,this,Def,pronoun,Inanim
so somebody else offered him a job in a light engineering shop .,offered him a job in a light engineering shop .,offered,him,Def,pronoun,Anim,a job in a light engineering shop,Indef,non,Inanim
University Hall . got to me first they sent me a letter saying,sent me a letter,sent,me,Def,pronoun,Anim,a letter,Indef,non,Inanim
give them another hundred an fif give them another thousand years,give them another thousand years,give,them,Def,pronoun,Anim,another thousand years,Indef,non,Inanim
um what I need now is a badge and a gun so we lent her a badge and a gun .,lent her a badge and a gun .,lent,her,Def,pronoun,Anim,a badge and a gun,Indef,non,Inanim
I suppose Zaria told you what happened there ?,told you what happened there ?,told,you,Def,pronoun,Anim,what happened there,Indef,non,Inanim
which is actually the same guys . the same bank that gave me that .,gave me that . big um - award,gave,me,Def,pronoun,Anim,that big award,Def,non,Inanim
so I've give given it a real kind of Mediterranean kind of styled .   swirly,given it a real kind of Mediterranean kind of styled . swirly plaster effect,given,it,Def,pronoun,Inanim,a real Mediterranean styled swirly plaster effect,Indef,non,Inanim
/I just told you that/ on the tapes /on the the tape/,told you that/,told,you,Def,pronoun,Anim,that,Def,pronoun,Inanim
yeah he's into it . give him a ring if you wanna go out,give him a ring,give,him,Def,pronoun,Anim,a ring,Indef,non,Inanim
<oh> would have cost him a hundred and five bucks you know <>,cost him a hundred and five bucks,cost,him,Def,pronoun,Anim,a hundred and five bucks,Indef,non,Inanim
gonna cost you four dollars to keep the collection .,cost you four dollars,cost,you,Def,pronoun,Anim,four dollars,Indef,non,Inanim
she was only about ten so she paid me the four dollars <four dollars>,paid me the four dollars,paid,me,Def,pronoun,Anim,the four dollars,Def,non,Inanim
<yeah> so I just said look I'll give you my my wallet everything,give you my my wallet,give,you,Def,pronoun,Anim,my wallet,Def,non,Inanim
so maybe that will give me some clue -,give me some clue -,give,me,Def,pronoun,Anim,some clue,Indef,non,Inanim
but I mean denying yourself all that is is really . stupid,denying yourself all that,denying,yourself,Def,pronoun,Anim,all that,Def,pronoun,Inanim
show them where I work and all that sort of thing <yeah>,show them where I work,show,them,Def,pronoun,Anim,where I work,Indef,non,Inanim
show them the back of your hand they were little .bitches,show them the back of your hand,show,them,Def,pronoun,Anim,the back of your hand,Def,non,Inanim
and . give us whatever she had and . she was very nice and we used to like . to get sick,give us whatever she had,give,us,Def,pronoun,Anim,whatever she had,Indef,pronoun,Inanim
I can't tell you the number of years we were there .,tell you the number of years we were there .,tell,you,Def,pronoun,Anim,the number of years we were there,Def,non,Inanim
they'd give you ah a scripture in the morning,give you ah a scripture,give,you,Def,pronoun,Anim,a scripture,Indef,non,Inanim
and then the ah host and hostess would come give us a a biscuit or something,give us a a biscuit or something,give,us,Def,pronoun,Anim,a biscuit or something,Indef,non,Inanim
was I was able to show her . my first baby -,show her . my first baby -,show,her,Def,pronoun,Anim,my first baby,Def,non,Anim
and she gave me a smack on the hand she said you're not allowed to touch those,gave me a smack on the hand,gave,me,Def,pronoun,Anim,a smack on the hand,Indef,non,Inanim
and he ah - gives them a lot of ah l ah w ah lessons and things,gives them a lot of ah l ah w ah lessons and things,gives,them,Def,pronoun,Anim,a lot of lessons and things,Indef,non,Inanim
yes . the bells of St Clements owe me a farthing .,owe me a farthing .,owe,me,Def,pronoun,Anim,a farthing,Indef,non,Inanim
oh couldn't tell you that now - I know that at my father's funeral it was horses <mm> mm  /I,tell you that,tell,you,Def,pronoun,Anim,that,Def,pronoun,Inanim
ahh when I went to primary school. and it was in standard six form two. a little friend she's a friend to this day. wrote me a little note. and it said dear Lucie L O O S E Y.,wrote me a little note.,wrote,me,Def,pronoun,Anim,a little note,Indef,non,Inanim
and ahh photographs of course remind you of when you are little at that age wearing a school uniform for instance I can show you a photo of that -,show you a photo of that -,show,you,Def,pronoun,Anim,a photo of that,Indef,non,Inanim
movement and she wrote him a letter the letters. er that he sent her are now with Turnbull library we took them.,wrote him a letter,wrote,him,Def,pronoun,Anim,a letter,Indef,non,Inanim
interior I can show you some pictures later on or but as a matter of fact because when my mother went to live with me in Wellington,show you some pictures,show,you,Def,pronoun,Anim,some pictures,Indef,non,Inanim
and Nana in Sydney sent me dresses every birthday and of course I looked forward to those because it was depression times and they were always rather special dresses.  and,sent me dresses,sent,me,Def,pronoun,Anim,dresses,Indef,non,Inanim
she would give me a duster. Oh I learnt to oh I know I was a Brownie as a little girl and. ahh in those days.,give me a duster.,give,me,Def,pronoun,Anim,a duster,Indef,non,Inanim
in the afternoons give them their drinks at certain times supervise their play. mother was responsible for that.,give them their drinks,give,them,Def,pronoun,Anim,their drinks,Def,non,Inanim
but ahh if in that whopping couch time if mother wanted to give me a special treat. I would have a grape fruit.,give me a special treat.,give,me,Def,pronoun,Anim,a special treat,Indef,non,Inanim
gave me good basic - eating - and I think was healthy she she always wanted to make me healthy.,gave me good basic - eating -,gave,me,Def,pronoun,Anim,good basic eating,Indef,non,Inanim
my mother taught dancing. and there were people who could manage to pay her the pittence to let their children learn dancing.,pay her the pittence,pay,her,Def,pronoun,Anim,the pittence,Def,non,Inanim
er she gave me pocket money and I had to buy my own silk stockings with that,gave me pocket money,gave,me,Def,pronoun,Anim,pocket money,Indef,non,Inanim
and I s and he said I'm looking through here have have you seen those photos of us in our class photos no I said and so he showed me some.,showed me some.,showed,me,Def,pronoun,Anim,some,Indef,non,Inanim
so I gave the uninteresting ones away and the ones that said if you write to me I'll send you stamps and a kimono and all sorts of things.,send you stamps and a kimono and all sorts of things.,send,you,Def,pronoun,Anim,stamps and a kimono and all sorts of things,Indef,non,Inanim
if you do not want to write please give me that. um address of that person I will wan would want to carry on correspondence.,give me that. um address of that person,give,me,Def,pronoun,Anim,that address of that person,Def,non,Inanim
my mother it was her hobby I was in Dunedin I think as a student she showed me some of them.,showed me some of them.,showed,me,Def,pronoun,Anim,some of them,Indef,non,Inanim
Frances would a been able to tell you quite a bit about her did she,tell you quite a bit about her,tell,you,Def,pronoun,Anim,quite a bit about her,Indef,non,Inanim
7 o'clock i think it was 7 breakfast then 10 o'clock morning tea 12 dinner 3 afternoon tea and about 6 you had tea and then you hadda sit up till 10 o'clock and give them supper and then clean up afterwards (.),give them supper,give,them,Def,pronoun,Anim,supper,Def,non,Inanim
and some people were kind and gave me a ride up to Gibson we used to have dances on they were trying to buy a piano for the uh the school and we'd have a dance up there about every fortnight or three weeks and,gave me a ride up to Gibson,gave,me,Def,pronoun,Anim,a ride up to Gibson,Indef,non,Inanim
some kind people would offer me a ride up   home,offer me a ride up,offer,me,Def,pronoun,Anim,a ride up,Indef,non,Inanim
and one day Uncle Jim gave Sammy some mouldy chaff oh dear I'll never (.),gave Sammy some mouldy chaff,gave,Sammy,Def-pn,non,Anim,some mouldy chaff,Indef,non,Inanim
oh well (.) yes if we killed a pig well (.) you know somebody'd give us a pig (.),give us a pig (.),give,us,Def,pronoun,Anim,a pig,Indef,non,Anim
oh no it was killed a pig and and give you some more pork bones or,give you some more pork bones,give,you,Def,pronoun,Anim,some more pork bones,Indef,non,Inanim
conservation no it wouldn't be conservation they offered her 10 dollars for it,offered her 10 dollars,offered,her,Def,pronoun,Anim,10 dollars,Indef,non,Inanim
they give em this um what they call it (.),give em this um what they call it (.)  solo mums pay,give,em,Def,pronoun,Anim,this what they call it solo mums pay,Def,non,Inanim
Frances tell you that,tell you that,tell,you,Def,pronoun,Anim,that,Def,pronoun,Inanim
 - and uh which I . I wouldn't give you thank you for today,give you thank you,give,you,Def,pronoun,Anim,thank you,Indef,non,Inanim
. mum went as crook as blazes 'cause we'd run away from home and . she gave us both a belt across the backside that was all,gave us both a belt across the backside,gave,us both,Def,pronoun,Anim,a belt across the backside,Indef,non,Inanim
which never did anybody any harm either . if they caught you doing something you shouldn't do,did anybody any harm,did,anybody,Indef,non,Anim,any harm,Indef,non,Inanim
I don't even I I don't remember mum ever hitting me dad gave me a couple of whacks across the backside a few times but .,gave me a couple of whacks across the backside,gave,me,Def,pronoun,Anim,a couple of whacks across the backside,Indef,non,Inanim
. and it didn't do you any harm either it made you made you realise you'd done something wrong and you didn't do it again,do you any harm,do,you,Def,pronoun,Anim,any harm,Indef,non,Inanim
 - I know uhh when I when I asked if it was all over they gave me a drink and I couldn't swallow it came up and out,gave me a drink,gave,me,Def,pronoun,Anim,a drink,Indef,non,Inanim
he gave them a . um - thoroughbred . mare each .  and,gave them a . um - thoroughbred . mare each,gave,them,Def,pronoun,Anim,a thoroughbred mare,Indef,non,Anim
he'd tell us a certain amount .  and,tell us a certain amount .,tell,us,Def,pronoun,Anim,a certain amount,Indef,non,Inanim
and so we'd all give him a big hug and so mum and that and ah off we'd go to bed but .  he'd,give him a big hug,give,him,Def,pronoun,Anim,a big hug,Indef,non,Inanim
and he said 'why' . and she s- told him that her father . his father had given her a ride into town.  and,given her a ride into town.,given,her,Def,pronoun,Anim,a ride into town,Indef,non,Inanim
I'd make a cup of tea . and ah Mum'd get story yarning and telling them grandad's old stories and that .  and,telling them grandad's old stories,telling,them,Def,pronoun,Anim,grandad's old stories,Def,non,Inanim
