Line,Construction,type,psr,psr.def,psr.pron,psr.anim,psm,psm.pron,psm.anim
pro ah . nearly four years of age the winter of being four years of age,the winter of being four years of age,OF,being four years of age,Indef,n,Inanim,the winter,n,Inanim
and they had two side panels coming down the front of the frock and the belt threaded through them -,the front of the frock,OF,the frock,Def,n,Inanim,the front,n,Inanim
cut out embroidery right round the hem of the skirt .,the hem of the skirt .,OF,the skirt,Def,n,Inanim,the hem,n,Inanim
we were all envious of Nancy's tussah silk frock .,Nancy's tussah silk frock .,S,Nancy,Def-pn,n,Anim,tussah silk frock,n,Inanim
for the first nine years of my life with um . bronchitis and pneumonia,the first nine years of my life,OF,my life,Def,n,Inanim,the first nine years,n,Inanim
oh yes yes . and my own ah in dad's business he had a milliner,dad's business,S,dad,Def-pn,n,Anim,business,n,Inanim
and chant the name of the newspaper the Southland Daily News . to his annoyance,the name of the newspaper,OF,the newspaper,Def,n,Inanim,the name,n,Inanim
cos he couldn't see us because of the height of the green peas from the kitchen,the height of the green peas,OF,the green peas,Def,n,Inanim,the height,n,Inanim
do you know what suet is? . suet is the fat around the kidney area of the animal .,the kidney area of the animal .,OF,the animal,Def,n,Anim,the kidney area,n,Inanim
in the heat of summer the flaming Christmas pudding and every thing -,the heat of summer,OF,summer,Indef,n,Inanim,the heat,n,Inanim
and then the owner of the best fish shop in Invercargill came to live across the road from us,the owner of the best fish shop in Invercargill,OF,the best fish shop in Invercargill,Def,n,Inanim,the owner,n,Anim
the back portion of the rabbit itself and my ma and my brother,the back portion of the rabbit itself,OF,the rabbit itself,Def,n,Anim,the back portion,n,Inanim
and then the batter of the Yorkshire pudding poured in on top of that .,the batter of the Yorkshire pudding,OF,the Yorkshire pudding,Def,n,Inanim,the batter,n,Inanim
I didn't know my mother's er uncles and aunts actually  her,my mother's er uncles and aunts,S,my mother,Def,n,Anim,uncles and aunts,n,Anim
do you know the cable car mmm towards the top of the cable car .  and,the top of the cable car .,OF,the cable car,Def,n,Inanim,the top,n,Inanim
s~ go to the top of the street and see how far down you could go down and up the other end .  and,the top of the street,OF,the street,Def,n,Inanim,the top,n,Inanim
was the end of me .  of,the end of me .  of of my boarding school years,OF,my boarding school years,Def,n,Inanim,the end,n,Inanim
I left at the end of 1933 .  and,the end of 1933 .,OF,1933,Indef,n,Inanim,the end,n,Inanim
and we'd have the names of the parties  and,the names of the parties,OF,the parties,Def,n,Inanim,the names,n,Inanim
crept in and put their jelly inside the lid of the piano .   what,the lid of the piano .,OF,the piano,Def,n,Inanim,the lid,n,Inanim
what the owners of the house thought I cannot imagine . the mind boggles,the owners of the house,OF,the house,Def,n,Inanim,the owners,n,Anim
we went to a kindergarten which was . the bottom half of the Kelburn school which was  the,the bottom half of the Kelburn school,OF,the Kelburn school,Def,n,Inanim,the bottom half,n,Inanim
and the inside of the pleat was a different colour to the outside  very,the inside of the pleat,OF,the pleat,Def,n,Inanim,the inside,n,Inanim
you know the people who used to stand at the bottom of the steps and take photographs and .  I've,the bottom of the steps,OF,the steps,Def,n,Inanim,the bottom,n,Inanim
this is how you do the corners of the beds   and,the corners of the beds,OF,the beds,Def,n,Inanim,the corners,n,Inanim
and you must never have the opening of your . pillow .  it,the opening of your . pillow .,OF,your pillow,Def,n,Inanim,the opening,n,Inanim
we put a penny somewhere for the building of the chapel,the building of the chapel,OF,the chapel,Def,n,Inanim,the building,n,Inanim
the person at the head of the table would just hold it up like   this,the head of the table,OF,the table,Def,n,Inanim,the head,n,Inanim
because it was right in the middle of of The Terrace in Wellington if  you,the middle of of The Terrace in Wellington,OF,The Terrace in Wellington,Def-pn,n,Inanim,the middle,n,Inanim
it .  because it being my father's work . um,my father's work .,S,my father,Def,n,Anim,work,n,Inanim
um . the names of shrubs and trees and . plants of various kind we we had  quite,the names of shrubs and trees and . plants of various kind,OF,shrubs and trees and plants of various kind,Indef,n,Inanim,the names,n,Inanim
at the bottom of the hill . and ahh go out from the square in um .  ahh,the bottom of the hill .,OF,the hill,Def,n,Inanim,the bottom,n,Inanim
a rabbit out of a a man's handkerchief and making the rabbit run up up her arm . and um -  ahh,a a man's handkerchief,S,a man,Indef,n,Anim,handkerchief,n,Inanim
ahh so on in in the light of the candle .  she .,the light of the she . candle .  w~,OF,the candle,Def,n,Inanim,the light,n,Inanim
an eye on on the um . commercial side of the um -  orchard,the um . commercial side of the um -  orchard,OF,the orchard,Def,n,Inanim,the commercial side,n,Inanim
but I do~ I just don't remember the details of the ball,the details of the ball,OF,the ball,Def,n,Inanim,the details,n,Inanim
and er she sort of stood in . in her mother's place for the young  members,her mother's place,S,her mother,Def,n,Anim,place,n,Inanim
members of the family - um - yes occasionally um .  but,the young  members of the family -,OF,the family,Def,n,Inanim,the young members,n,Anim
those girls who took me to Miss Pender's kindergarten because um .  I,Miss Pender's kindergarten,S,Miss Pender,Def-pn,n,Anim,kindergarten,n,Inanim
and um - or part owned it with ahh so~ er some of Mr Morton's brothers or cousins .  and,Mr Morton's brothers or cousins .,S,Mr Morton,Def-pn,n,Anim,brothers or cousins,n,Anim
who she was speaking of on the spur of the moment I couldn't tell you .  um,the spur of the moment,OF,the moment,Def,n,Inanim,the spur,n,Inanim
thought of other people's feelings you know i~ in the .  in,other people's feelings,S,other people,Indef,n,Anim,feelings,n,Inanim
phone when we got one . and - ahh the car running of the car  he,running of the car,OF,the car,Def,n,Inanim,running,n,Inanim
soap . common soap . and I can still remember the delicious . smell of fresh soap in the .  ahh,the delicious . smell of fresh soap,OF,fresh soap,Indef,n,Inanim,the delicious smell,n,Inanim
um for instance and caves up at the top of our hill .  we,the top of our hill .,OF,our hill,Def,n,Inanim,the top,n,Inanim
i think she started seeing uh daylight now at the end of the tunnel shes got a few too many and she's,the end of the tunnel,OF,the tunnel,Def,n,Inanim,the end,n,Inanim
skiing resort from the middle of the summer yea years ago it used to only be a summer holiday but,the middle of the summer,OF,the summer,Def,n,Inanim,the middle,n,Inanim
she was married to Jack which was Jim's brother,Jim's brother,S,Jim,Def-pn,n,Anim,brother,n,Anim
it was made out in Mum's name and not in Dad's name so it was,Mum's name,S,Mum,Def-pn,n,Anim,name,n,Inanim
it was made out in Mum's name and not in Dad's name so it was,Dad's name,S,Dad,Def-pn,n,Anim,name,n,Inanim
that must be just after the turn of the century it couldn't've been much,the turn of the century,OF,the century,Def,n,Inanim,the turn,n,Inanim
for the first term of the year i think we used to have manual,the first term of the year,OF,the year,Def,n,Inanim,the first term,n,Inanim
the kids of today they they expect you to uh pick them up and drop them down you see,the kids of today,OF,today,Def,n,Inanim,the kids,n,Anim
and uh we milked oh probably about thirty cows and then we used to pick up the neighbour's milk and,the neighbour's milk,S,the neighbour,Def,n,Anim,milk,n,Inanim
 - and I suppose it was in the . heart of the depression and . um,the . heart of the depression,OF,the depression,Def,n,Inanim,the heart,n,Inanim
ahh . think . you know the true history of the opium wars  . when,the true history of the opium wars,OF,the opium wars,Def,n,Inanim,the true history,n,Inanim
. in the doctor's car 'cause there was . that was the only way I suppose he had to take all,the doctor's car,S,the doctor,Def,n,Anim,car,n,Inanim
. but this kid was . just the sort of . leader of the pack and I think it was because,the sort of . leader of the pack,OF,the pack,Def,n,Inanim,the leader,n,Anim
. the youngest child of a . pretty spread-out family,. the youngest child of a . pretty spread-out family,OF,a pretty spread-out family,Indef,n,Inanim,the youngest child,n,Anim
. um and to the best of my knowledge,the best of my knowledge,OF,my knowledge,Def,n,Inanim,the best,n,Inanim
. and all the wreaths were pretty . of course it was always chrysanthemums because that was the time of year,the time of year,OF,year,Indef,n,Inanim,the time,n,Inanim
. they just had big coke . heaters in the middle of the room with a chimney going up which used to,the middle of the room,OF,the room,Def,n,Inanim,the middle,n,Inanim
and . in the other school which was the older block of the school there were only open fire places,the older block of the school,OF,the school,Def,n,Inanim,the older block,n,Inanim
. and so it was alright if you were near the fire place but if you were in the far corner of the room it wasn't too good,the far corner of the room,OF,the room,Def,n,Inanim,the far corner,n,Inanim
. and you'd . carve your initials on your spud and you'd put it under the grate of the fire,the grate of the fire,OF,the fire,Def,n,Inanim,the grate,n,Inanim
. 'cause we were taught by miss hampton who was . daughter of the . local . village constable,daughter of the . local . village constable,OF,the local village constable,Def,n,Anim,daughter,n,Anim
. who used to be the um . caretaker of the . town hall and council . chambers,the um . caretaker of the . town hall and council . chambers,OF,the town hall and council chambers,Def,n,Inanim,the caretaker,n,Anim
. stan rule and . topsy rule and I can't remember the other girl's name and uh,the other girl's name,S,the other girl,Def,n,Anim,name,n,Inanim
. we were the . you wer~ we were . top of the class and we were the youngest in the class,top of the class,OF,the class,Def,n,Inanim,top,n,Inanim
. and . mostly in e~ in each other's imagination,each other's imagination,S,each other,Def,n,Anim,imagination,n,Inanim
. you know . you and I were really even though we were top of the class we were quite immature,top of the class,OF,the class,Def,n,Inanim,top,n,Inanim
. one of the miss . kennedys of kennedy's bush and they were an irish catholic family,the miss . kennedys of kennedy's bush,OF,kennedy's bush,Def-pn,n,Inanim,the miss kennedys,n,Anim
. ah. the state of the country when the first settlers came and,the state of the country,OF,the country,Def,n,Inanim,the state,n,Inanim
. a noun is the word that is the name of a person animal place or thing,the name of a person animal place or thing,OF,a person animal place or thing,Indef,n,Anim,the name,n,Inanim
and . the use of the apostrophe was a very important . ah part of the teaching of grammar --,the use of the apostrophe,OF,the apostrophe,Def,n,Inanim,the use,n,Inanim
and . the use of the apostrophe was a very important . ah part of the teaching of grammar --,the teaching of grammar --,OF,grammar,Indef,n,Inanim,the teaching,n,Inanim
. ah . y you could take ah . ah . ah Judas's trial,Judas's trial,S,Judas,Def-pn,n,Anim,trial,n,Inanim
. or your you might be asked what is the superlative degree of 'good',the superlative degree of 'good',OF,good,Indef,n,Inanim,the superlative degree,n,Inanim
 - yes the the the first letter of each of his Christian names  . John,the first letter of each of his Christian names,OF,each of his Christian names,Def,n,Inanim,the first letter,n,Inanim
. there were prizes at the end of the year,the end of the year,OF,the year,Def,n,Inanim,the end,n,Inanim
. illustrated the meaning of beautiful,the meaning of beautiful,OF,beautiful,Indef,n,Inanim,the meaning,n,Inanim
. that when the girls did an hour's sewing . per week,an hour's sewing .,S,an hour,Indef,n,Inanim,sewing,n,Inanim
. the boys did an hour's agriculture,an hour's agriculture,S,an hour,Indef,n,Inanim,agriculture,n,Inanim
. ah and parsnips there was practically . nothing done in the way of flowers,the way of flowers,OF,flowers,Indef,n,Inanim,the way,n,Inanim
. ah we had . ah one day's w woodwork,one day's w woodwork,S,one day,Indef,n,Inanim,woodwork,n,Inanim
. I h half a day's woodwork,half a day's woodwork,S,half a day,Indef,n,Inanim,woodwork,n,Inanim
. ah a and the gir the girls had . half a day's cooking,half a day's cooking,S,half a day,Indef,n,Inanim,cooking,n,Inanim
. ah and ah . ah he would teach . ah the pupils of that school,the pupils of that school,OF,that school,Def,n,Inanim,the pupils,n,Anim
. ah one day's woodwork in in Dunedin where he would live,one day's woodwork,S,one day,Indef,n,Inanim,woodwork,n,Inanim
. and ah ah whether that was due . to ah JB Grant's better teaching,JB Grant's better teaching,S,JB Grant,Def-pn,n,Anim,better teaching,n,Inanim
. and the box of nibs . was generally kept in the teacher's drawer,the teacher's drawer,S,the teacher,Def,n,Anim,drawer,n,Inanim
. at the front of the . or the sunny side of the school,the sunny side of the school,OF,the school,Def,n,Inanim,the sunny side,n,Inanim
. in in those days . the south west side of every school . was protected from the wind,the south west side of every school .,OF,every school,Def,n,Inanim,the south west side,n,Inanim
. at the back of the school or,the back of the school,OF,the school,Def,n,Inanim,the back,n,Inanim
. another time you'd have to put it on the back of your hand,the back of your hand,OF,your hand,Def,n,Inanim,the back,n,Inanim
. er one would be on the back . of the other boy,the back . of the other boy,OF,the other boy,Def,n,Anim,the back,n,Inanim
. that was the end of shanghais,the end of shanghais,OF,shanghais,Indef,n,Inanim,the end,n,Inanim
. er I think about er the youngster was still at school about four o'clock in the middle of winter,the middle of winter,OF,winter,Indef,n,Inanim,the middle,n,Inanim
. I don't . know the details of how we played that game of tig,the details of how we played that game of tig,OF,how we played that game of tig,Indef,n,Inanim,the details,n,Inanim
. my mother could . er go out the back door of the house and have a look . along the road,the back door of the house,OF,the house,Def,n,Inanim,the back door,n,Inanim
. er - and . put in piles . at the side of the road,the side of the road,OF,the road,Def,n,Inanim,the side,n,Inanim
. and a labourer . er . er's job,a labourer . er . er's job,S,a labourer,Indef,n,Anim,job,n,Inanim
. there were always . near the side of the road or some place,the side of the road,OF,the road,Def,n,Inanim,the side,n,Inanim
. er at the . towards the side of the road perhaps,the side of the road,OF,the road,Def,n,Inanim,the side,n,Inanim
when you're looking at anything there some records will have an e on the end of Munro,the end of Munro,OF,Munro,Def-pn,n,Inanim,the end,n,Inanim
only a little bit of my father's family at Lawrence but mainly if really about his great ah uncle,my father's family at Lawrence,S,my father,Def,n,Anim,family at Lawrence,n,Anim
this old aunt started gold mining too and she used to. butcher's knife the point of a bit butcher's knife to pick up the bits of gold and,the point of a bit butcher's knife,OF,a butcher's knife,Indef,n,Inanim,the point,n,Inanim
on my mother's side yes mm hm,my mother's side,S,my mother,Def,n,Anim,side,n,Inanim
we had to go home for dinner. in the middle of the day,the middle of the day,OF,the day,Def,n,Inanim,the middle,n,Inanim
nana's . brother . Nelson .,nana's . brother .,S,nana,Def-pn,n,Anim,brother,n,Anim
we've got a diary in there that tells us about the opening of the um . tennis court they .,the opening of the um . tennis court,OF,the tennis court,Def,n,Inanim,the opening,n,Inanim
now is the fact that w the tram went along the bottom of the hill,the bottom of the hill,OF,the hill,Def,n,Inanim,the bottom,n,Inanim
and everybody . who was mentioned had to have the name of a flower .,the name of a flower .,OF,a flower,Indef,n,Inanim,the name,n,Inanim
I normally went straight home caught the tram at the bottom of the hill,the bottom of the hill,OF,the hill,Def,n,Inanim,the bottom,n,Inanim
the sound of horses hooves far more than the sound of .,the sound of horses hooves,OF,horses hooves,Def,n,Inanim,the sound,n,Inanim
the sound of horses hooves far more than the sound of .,horses hooves,S,horses,Indef,n,Anim,hooves,n,Inanim
and rode through and he each time he brought back the head of a stag .,the head of a stag .,OF,a stag,Indef,n,Anim,the head,n,Inanim
no they were just a child's drawings but um . d,a child's drawings,S,a child,Indef,n,Anim,drawings,n,Inanim
and we liked . ah trying to put mother's shoes on of course,mother's shoes,S,mother,Indef,n,Anim,shoes,n,Inanim
well I think they were a sort of abscess on the side of the gum .,the side of the gum .,OF,the gum,Def,n,Inanim,the side,n,Inanim
and ah according to the mood of the picture .,the mood of the picture .,OF,the picture,Def,n,Inanim,the mood,n,Inanim
when you well in the early days of motorcars I mean,the early days of motorcars,OF,motorcars,Indef,n,Inanim,the early days,n,Inanim
because of the state of the road .,the state of the road .,OF,the road,Def,n,Inanim,the state,n,Inanim
and we had dinner in the middle of the day instead of at night on a Sunday,the middle of the day,OF,the day,Def,n,Inanim,the middle,n,Inanim
it was. it was granddad's - brother I think that   that,granddad's - brother,S,granddad,Def-pn,n,Anim,brother,n,Anim
that's . our um . grandma's -,our um . grandma's -  parents .,S,our grandma,Def,n,Anim,parents,n,Anim
and that's grandma's - family -  that's,grandma's - family -,S,grandma,Def-pn,n,Anim,family,n,Anim
um . one in Christchurch I think . <mm hm> one of mum's . family.,mum's . family.,S,mum,Def-pn,n,Anim,family,n,Anim
but the price of housing in some of these little . Southland towns was unbelievable.  it,the price of housing,OF,housing,Indef,n,Inanim,the price,n,Inanim
at the bottom of the . of the dairy . er of the of the cow pie -,the bottom of the . of the dairy . er of the of the cow pie -,OF,the cow pie,Def,n,Inanim,the bottom,n,Inanim
they're just all on the . on the . peninsula and it's the other side of the city but it's .,the other side of the city,OF,the city,Def,n,Inanim,the other side,n,Inanim
half an hour from the centre of town .,the centre of town .,OF,town,Indef,n,Inanim,the centre,n,Inanim
he has an interesting story to tell about the um - about the politicians of <oh yeah> his time,the politicians of <oh yeah> his time,OF,his time,Def,n,Inanim,the politicians,n,Anim
<but> obviously in grandad's day they were a bit like,grandad's day,S,grandad,Def-pn,n,Anim,day,n,Inanim
yeah I think they get in big fights   by the sound of things .,the sound of things .,OF,things,Indef,n,Inanim,the sound,n,Inanim
just . the amount of things you can do within -,the amount of things you can do within -  within a very short distance of it .,OF,things you can do within a very short distance of it,Indef,n,Inanim,the amount,n,Inanim
and it's all quarter of an hour's trip from . from home .,quarter of an hour's trip,S,quarter of an hour,Indef,n,Inanim,trip,n,Inanim
. anyway they didn't like the the look of the crayfish,the look of the crayfish,OF,the crayfish,Def,n,Anim,the look,n,Inanim
. it was over near in on Eggly's property which is just off the main road up ah . near Watts Road,Eggly's property,S,Eggly,Def-pn,n,Anim,property,n,Inanim
. was Calder's Quarries and ah he he w was in with the . blacksmith on the other side of the road,the other side of the road,OF,the road,Def,n,Inanim,the other side,n,Inanim
. ah . the first of the month you see you you started,the first of the month,OF,the month,Def,n,Inanim,the first,n,Inanim
< > and you had a selection of flies to use according to the time of the year and,the time of the year,OF,the year,Def,n,Inanim,the time,n,Inanim
. we walked down the centre of the road it had cleared there,the centre of the road,OF,the road,Def,n,Inanim,the centre,n,Inanim
yeah just like water getting underneath and the pressure of the water lifting it up and it would flopped right over and . break,the pressure of the water,OF,the water,Def,n,Inanim,the pressure,n,Inanim
. and ah . ah . they could walk down . the the centre of the road so far . the guests,the centre of the road,OF,the road,Def,n,Inanim,the centre,n,Inanim
. he got onto the back of the car you see and sat down and of course you wouldn't see him ah,the back of the car,OF,the car,Def,n,Inanim,the back,n,Inanim
. and he he got off just as the tram was moving away around the back of the tram and . caught us all,the back of the tram,OF,the tram,Def,n,Inanim,the back,n,Inanim
. in fact . there was a a . a house at the end of our street in [Marque?] Street,the end of our street in [Marque?] Street,OF,our street in [Marque] Street,Def,n,Inanim,the end,n,Inanim
Calder's place yeah,Calder's place,S,Calder,Def-pn,n,Anim,place,n,Inanim
. and ah . ha . we tied an old wallet onto the end of the ah string,the end of the ah string,OF,the string,Def,n,Inanim,the end,n,Inanim
. so . I used to go up to my grandfather's . box factory . after school,my grandfather's . box factory .,S,my grandfather,Def,n,Anim,box factory,n,Inanim
. and I've forgotten the price of the films but they were quite cheap,the price of the films,OF,the films,Def,n,Inanim,the price,n,Inanim
. I smoked we smoked half a one of dad's cigars once,dad's cigars,S,dad,Def-pn,n,Anim,cigars,n,Inanim
I I like the smell of a a a good cigar you know when a person's smoking them,the smell of a a a good cigar,OF,a good cigar,Indef,n,Inanim,the smell,n,Inanim
but . she was sort of under my father's . domination you know what I mean,my father's . domination,S,my father,Def,n,Anim,domination,n,Inanim
n~ no he was a harsh man he was my father's brother -,my father's brother -,S,my father,Def,n,Anim,brother,n,Anim
cook my brother's and my father's breakfast and -,my brother's and my father's breakfast,S,my brother and my father,Def,n,Anim,breakfast,n,Inanim
and ahh . clean my father's boots till the morning I was married .,my father's boots,S,my father,Def,n,Anim,boots,n,Inanim
and ahh my father used to keep the . sheep's heads . bones for him .,the . sheep's heads . bones,S,the sheep,Def,n,Anim,heads bones,n,Inanim
and I had to meet her at the bottom of the hill and I met her with Arthur .,the bottom of the hill,OF,the hill,Def,n,Inanim,the bottom,n,Inanim
well he was . Jack's son .,Jack's son .,S,Jack,Def-pn,n,Anim,son,n,Anim
<okay> Mosgiel's sort of at the at the top end of the plane .,the top end of the plane .,OF,the plane,Def,n,Inanim,the top end,n,Inanim
Outram on the . top of the plains <okay> .,the . top of the plains,OF,the plains,Def,n,Inanim,the top,n,Inanim
<oh> rough end of the seat -,the . <oh> rough end of the seat -,OF,the seat,Def,n,Inanim,the rough end,n,Inanim
it was the son of . of dad's brother Jim . he was an accountant in - in Oamaru -,the son of . of dad's brother Jim .,OF,dad's brother Jim,Def,n,Anim,the son,n,Anim
it was the son of . of dad's brother Jim . he was an accountant in - in Oamaru -,dad's brother Jim .,S,dad,Def-pn,n,Anim,brother Jim,n,Anim
and she she did a year - in the back blocks of Clinton -,the back blocks of Clinton -,OF,Clinton,Def-pn,n,Inanim,the back blocks,n,Inanim
<yeah> well as far as the town bottom of the town went .  in,bottom of the town,OF,the town,Def,n,Inanim,bottom,n,Inanim
that was Shirley's grandfather .,Shirley's grandfather .,S,Shirley,Def-pn,n,Anim,grandfather,n,Anim
Grandma used to live at the top part of town . there <BL: yeah>,the top part of town .,OF,town,Indef,n,Inanim,the top part,n,Inanim
that wasn't was Mary Dooley Grandma's sister ?,Grandma's sister ?,S,Grandma,Def-pn,n,Anim,sister,n,Anim
Dad's <oh right> father . Dad's bro eldest brother,Dad's <oh right> father .,S,Dad,Def-pn,n,Anim,father,n,Anim
Dad's <oh right> father . Dad's bro eldest brother,Dad's bro eldest brother,S,Dad,Def-pn,n,Anim,eldest brother,n,Anim
the father - dad's father John Algie .,dad's father,S,dad,Def-pn,n,Anim,father,n,Anim
activities of our earliest <oh I see> our ancestors . yes,the linguistic -  activities of our earliest <oh I see> our ancestors .,OF,our ancestors,Def,n,Anim,the linguistic activities,n,Inanim
and Margaret's . daughter Pamela <mmm> was going to copy the . the type it out and . copy the family tree,Margaret's . daughter Pamela,S,Margaret,Def-pn,n,Anim,daughter Pamela,n,Anim
Algio came over . in the . train of the Bishop of Paisley -,the . train of the Bishop of Paisley -,OF,the Bishop of Paisley,Def,n,Anim,the train,n,Inanim
that that's that's that's not . Dad's one there's one there was one of me behind that .,Dad's one,S,Dad,Def-pn,n,Anim,one,n,Inanim
and there's one of Dad's sister Aunt Margaret she was a maiden lady <ohh>,Dad's sister,S,Dad,Def-pn,n,Anim,sister,n,Anim
there's a description of my mother's wedding frock,my mother's wedding frock,S,my mother,Def,n,Anim,wedding frock,n,Inanim
ahh . I noticed the . accent of a lot of people but I I don't notice it now,the . accent of a lot of people,OF,a lot of people,Indef,n,Anim,the accent,n,Inanim
on the middle of summer <oh no> -,the middle of summer,OF,summer,Indef,n,Inanim,the middle,n,Inanim
and gran was one of those people . she'd get the meal ready in the middle of the day .,the middle of the day .,OF,the day,Def,n,Inanim,the middle,n,Inanim
dad's sister he,dad's sister,S,dad,Def-pn,n,Anim,sister,n,Anim
well that that's dad's sister,dad's sister,S,dad,Def-pn,n,Anim,sister,n,Anim
<right> my dad's sister <right> mmm,my dad's sister,S,my dad,Def,n,Anim,sister,n,Anim
young girl <right> and he must have had the patience of a saint with her anyway .,the patience of a saint,OF,a saint,Indef,n,Anim,the patience,n,Inanim
creeping Jesus was one of dad's <yip> -,dad's <yip> -  <> exclamations,S,dad,Def-pn,n,Anim,exclamations,n,Inanim
<> exclamations or the sweet blue eyes of Jesus was another <oh really ?> yes .,the sweet blue eyes of Jesus,OF,Jesus,Def-pn,n,Anim,the sweet blue eyes,n,Inanim
mum's . grandfather . ahh Charles Stokes they lived in Lawrence .,mum's . grandfather .,S,mum,Def-pn,n,Anim,grandfather,n,Anim
< > oh well of course he was the editor of the paper <yeah>,the editor of the paper,OF,the paper,Def,n,Inanim,the editor,n,Anim
and ah . they're very . ah because . Mandy's parents you see are here .,Mandy's parents,S,Mandy,Def-pn,n,Anim,parents,n,Anim
<right> and and Dean's parents are up in the North Island so .,Dean's parents,S,Dean,Def-pn,n,Anim,parents,n,Anim
and I've got a . this is from Jim's <oh> step - father,Jim's <oh> step - father,S,Jim,Def-pn,n,Anim,stepfather,n,Anim
and thats dad's brother there he had .,dad's brother,S,dad,Def-pn,n,Anim,brother,n,Anim
<oh> but they reversed it and he's Lloyd Wallace Algie that's Ken's <I see> uh father,Ken's <I see> uh father,S,Ken,Def-pn,n,Anim,father,n,Anim
who's that ? - that Tom ? . Cynthia's husband -,Cynthia's husband -,S,Cynthia,Def-pn,n,Anim,husband,n,Anim
definitely every Christmas <okay> at each at somebody's place,somebody's place,S,somebody,Indef,n,Anim,place,n,Inanim
that's Maryann Valerie's girl .,Valerie's girl .,S,Valerie,Def-pn,n,Anim,girl,n,Anim
<mm hm> and those two are uh . Lloyd's boys girls,Lloyd's boys girls,S,Lloyd,Def-pn,n,Anim,boys girls,n,Anim
ahh Cynthia's boy . Peter he's got red hair <okay> Margaret's .,Cynthia's boy .,S,Cynthia,Def-pn,n,Anim,boy,n,Anim
. oh he was the life and soul of the party . yes yes,the life and soul of the party .,OF,the party,Def,n,Inanim,the life and soul,n,Inanim
the matagouri on the side of the the road .,the side of the the road .,OF,the road,Def,n,Inanim,the side,n,Inanim
and the only thing washing that he ever saw on the line was Margaret's tennis gear he wor walked past sheets and never ever see them .,Margaret's tennis gear,S,Margaret,Def-pn,n,Anim,tennis gear,n,Inanim
and she's in um . um she's on the on the um . City Council now she was Chairman of Waimairi .,Chairman of Waimairi .,OF,Waimairi,Def-pn,n,Inanim,Chairman,n,Anim
<really> they don't . one of my . ah Doris's girls said ooh she didnt want her six year olds learn about drugs I said they dont .,Doris's girls,S,Doris,Def-pn,n,Anim,girls,n,Anim
come in . this is Craig Margaret's eldest boy . Dr Woods .,Margaret's eldest boy .,S,Margaret,Def-pn,n,Anim,eldest boy,n,Anim
Cynthia's youngest girl Andrea . she's over there just now -,Cynthia's youngest girl,S,Cynthia,Def-pn,n,Anim,youngest girl,n,Anim
retirement and . was editor of the ahh free press .,editor of the ahh free press .,OF,the free press,Def-pn,n,Inanim,editor,n,Anim
unless . I . sucked them through a glass tube and I can remember my terror at the thought of the .,the thought of the .  glass tube,OF,the glass tube,Def,n,Inanim,the thought,n,Inanim
w~ was . beyond the scope of the dental nurse and then I used to go to the . the local dentist -,the scope of the dental nurse,OF,the dental nurse,Def,n,Inanim,the scope,n,Inanim
the the Leathen . Gorge . which is . in the back of Heriot somewhere,the back of Heriot,OF,Heriot,Def-pn,n,Inanim,the back,n,Inanim
h~ h~ he was . the the chairman of the um - the board .,the chairman of the um - the board .,OF,the board,Def,n,Inanim,the chairman,n,Anim
th~ then the cream's cheque would come .,the cream's cheque,S,the cream,Def,n,Inanim,cheque,n,Inanim
and I was allowed to go to Mr Boin's bookshop and choose a book .,Mr Boin's bookshop,S,Mr Boin,Def-pn,n,Anim,bookshop,n,Inanim
ahh - there wasn't very much in the in the way of sport .,the way of sport .,OF,sport,Indef,n,Inanim,the way,n,Inanim
 -- can't remember the name of the places,the name of the places,OF,the places,Def,n,Inanim,the name,n,Inanim
<hospital ? > no it was a private hospital at . Nishanks was the name of the place . Nishanks,the name of the place .,OF,the place,Def,n,Inanim,the name,n,Inanim
mother's side John Slattery . and Agnes,mother's side,S,mother,Indef,n,Anim,side,n,Inanim
that was her mother's name so I don't know whether something got muddled up or what .,her mother's name,S,her mother,Def,n,Anim,name,n,Inanim
yes . ahh the sixth of January nineteen .,the sixth of January,OF,January,Def-pn,n,Inanim,the sixth,n,Inanim
Jack was born um -- ah -- tenth of April nineteen twenty -- three --,tenth of April,OF,April,Def-pn,n,Inanim,tenth,n,Inanim
I know I used to go my aunt's who lived see . Grandpa's house was here -,Grandpa's house,S,Grandpa,Def-pn,n,Anim,house,n,Inanim
that was when we were young that was Aunty Nell's room . and our room was .,Aunty Nell's room .,S,Aunty Nell,Def-pn,n,Anim,room,n,Inanim
at the back of the house . that was the greenhouse in there . plants can't see it .,the back of the house .,OF,the house,Def,n,Inanim,the back,n,Inanim
ah at church see on the first Sunday of the month we had a procession round the church .,the first Sunday of the month,OF,the month,Def,n,Inanim,the first Sunday,n,Inanim
Mary Brooker down one day in the holidays she came down for the day . and she'd have dinner there we had dinner in the middle of the day then .,the middle of the day,OF,the day,Def,n,Inanim,the middle,n,Inanim
a lot of rocks along the south end of the beach of the bay . cos the bay's changed now it's not as nice as it used to be - do you know Timaru ?,the south end of the beach of the bay .,OF,the beach of the bay,Def,n,Inanim,the south end,n,Inanim
a lot of rocks along the south end of the beach of the bay . cos the bay's changed now it's not as nice as it used to be - do you know Timaru ?,the beach of the bay .,OF,the bay,Def,n,Inanim,the beach,n,Inanim
