Unnamed: 0,Context,Response.variable,Possessor,Possessum,morph_case
3615,"get   &the tenancy& <anag> of </anag> $other farms$   ,",of-genitive,other farms,the tenancy,gen
3616,"in   &the name& <anag> of </anag> $religion$   , they",of-genitive,religion,the name,gen
3617,seen   &the closure& <anag> of </anag> $some of the quarries$,of-genitive,some of the quarries,the closure,gen
3618,was   &the name& <anag> of </anag> $that boat$   .,of-genitive,that boat,the name,gen
3619,were   &the mainstays& <anag> of </anag> $that chapel$   ?,of-genitive,that chapel,the mainstays,gen
3620,through   &the mouth& <anag> of </anag> $that footrid$   and,of-genitive,that footrid,the mouth,gen
3621,on   &the site& <anag> of </anag> $that former shop$,of-genitive,that former shop,the site,gen
3622,",   &the effects& <anag> of </anag> $that gas$   ?",of-genitive,that gas,the effects,gen
3623,was   &the name& <anag> of </anag> $that home$   ?,of-genitive,that home,the name,gen
3624,and   &the father& <anag> of </anag> $that household$   said,of-genitive,that household,the father,gen
3625,are   &the symptoms& <anag> of </anag> $that kind of disease$,of-genitive,that kind of disease,the symptoms,gen
3626,was   th&e atmosphere <&anag> of </anag> that one - roome$$anag> of </anag> that one - roomed,of-genitive,that one-roomed cottage,the atmosphere,gen
3627,",   &the name& <anag> of </anag> $that pub at priorslee$",of-genitive,that pub at priorslee,the name,gen
3628,know   &the name& <anag> of </anag> $that pub that mr ketley kept$,of-genitive,that pub that mr ketley kept,the name,gen
3629,celebrate   &the founding& <anag> of </anag> $that school$   -,of-genitive,that school,the founding,gen
3630,was   &the name& <anag> of </anag> $that school$   there,of-genitive,that school,the name,gen
3631,&the actual name& <anag> of </anag> $that school$   ;,of-genitive,that school,the actual name,gen
3632,"was   &the name& <anag> of </anag> $that seam$   ,",of-genitive,that seam,the name,gen
3633,be   &the depth& <anag> of </anag> $that shaft$   ?,of-genitive,that shaft,the depth,gen
3634,ibjp>   &the depth& <anag> of </anag> $that shaft$   'ud,of-genitive,that shaft,the depth,gen
3635,"&the top part& <anag> of </anag> the , well , $the bar$",of-genitive,the bar,the top part,gen
3636,even   &the speed& <anag> of </anag> $the aircraft$   in,of-genitive,the aircraft,the speed,gen
3637,"$the ann crook$ <syng>  s </syng> &lads&   , there",s-genitive,the ann crook,lads,gen
3638,",   &the governor& <anag> of </anag> $the asylum$   was",of-genitive,the asylum,the governor,gen
3639,in   &the corner& <anag> of </anag> $the back kitchen$,of-genitive,the back kitchen,the corner,gen
3640,was   &the trimming& <anag> of </anag> $the bank$s   .,of-genitive,the bank,the trimming,gen
3641,uh   &the captain& <anag> of </anag> $the barge$   .,of-genitive,the barge,the captain,gen
3642,spoiling   &the value& <anag> of </anag> $the barrel$   if,of-genitive,the barrel,the value,gen
3643,"through   &the bottom& <anag> of </anag> $the baskets$   ,",of-genitive,the baskets,the bottom,gen
3644,&the black part& <anag> of </anag> $the battery$   .,of-genitive,the battery,the black part,gen
3645,"near   &the edge& <anag> of </anag> $the bed$   ,",of-genitive,the bed,the edge,gen
3646,on   &the edge& <anag> of </anag> $the bed$   there,of-genitive,the bed,the edge,gen
3647,&the actual ironwork& <anag> of </anag> $the beds$   were,of-genitive,the beds,the actual ironwork,gen
3648,at   &the top& <anag> of </anag> $the big kiln$,of-genitive,the big kiln,the top,gen
3649,know   &the principal& <anag> of </anag> $the binder$   .,of-genitive,the binder,the principal,gen
3650,on   &the door& <anag> of </anag> $the binder shed$,of-genitive,the binder shed,the door,gen
3651,was   &the owner& <anag> of </anag> $the blast furnaces$,of-genitive,the blast furnaces,the owner,gen
3652,from   &the top& <anag> of </anag> $the boat$   to,of-genitive,the boat,the top,gen
3653,"on   &the stern& <anag> of </anag> $the boat$   ,",of-genitive,the boat,the stern,gen
3654,"on   &the size& <anag> of </anag> $the boat$   ,",of-genitive,the boat,the size,gen
3655,of   &the name& <anag> of </anag> $the boat$   now,of-genitive,the boat,the name,gen
3656,forget   &the name& <anag> of </anag> $the boat$   .,of-genitive,the boat,the name,gen
3657,"yuh   $the boat$ <syng>  s </syng> &name&   , that",s-genitive,the boat,name,gen
3658,with   $the boat$ <syng>  s </syng> &number&   and he,s-genitive,the boat,number,gen
3659,doun   &the side& <anag> of </anag> $the boat$   which,of-genitive,the boat,the side,gen
3660,"held   $the boat$ <syng>  s </syng> &lid&   , keepin'",s-genitive,the boat,lid,gen
3661,fergit   &the name& <anag> of </anag> $the boat$   .,of-genitive,the boat,the name,gen
3662,alon   $the boat$ <syng>  s </syng> &side&   underneath the,s-genitive,the boat,side,gen
3663,&the other side& <anag> of </anag> $the boat$   .,of-genitive,the boat,the other side,gen
3664,with   &the force& <anag> of </anag> $the boat$   .,of-genitive,the boat,the force,gen
3665,.   $the boat$ <syng>  s </syng> &gear&   - -,s-genitive,the boat,gear,gen
3666,and   &the rig& <anag> of </anag> $the boats$   .,of-genitive,the boats,the rig,gen
3667,"underneath   $the boats$ <syng> 's </syng> &side&   , along",s-genitive,the boats,side,gen
3668,f'   &the size& <anag> of </anag> $the boats$   .,of-genitive,the boats,the size,gen
3669,on   &the decks& <anag> of </anag> $the boats$   .,of-genitive,the boats,the decks,gen
3670,wagon   &the sides& <anag> of </anag> $the body of the wagon$,of-genitive,the body of the wagon,the sides,gen
3671,s   &the tube& <anag> of </anag> $the boiler$   -,of-genitive,the boiler,the tube,gen
3672,on   &the bottom& <anag> of </anag> $the boiler$   and,of-genitive,the boiler,the bottom,gen
3673,the fore - side <anag> of </anag> th$e boiler  $ wa&&ide <anag> of </anag> the boiler   was,of-genitive,the boiler,the fore-side,gen
3674,",   &top hole& <anag> of </anag> $the box$   ,",of-genitive,the box,top hole,gen
3675,he was   &headmaster& <anag> of </anag> $the boys' school$,of-genitive,the boys' school,headmaster,gen
3676,remember   &the manager& <anag> of </anag> $the brick works$,of-genitive,the brick works,the manager,gen
3677,was   &the owners& <anag> of </anag> $the brickyard$   ?,of-genitive,the brickyard,the owners,gen
3678,",   &the boss& <anag> of </anag> $the brickyard$   ?",of-genitive,the brickyard,the boss,gen
3679,"take   &the weight& <anag> of </anag> $the bucket$   ,",of-genitive,the bucket,the weight,gen
3680,"in   &the bottom& <anag> of </anag> $the buff$   ,",of-genitive,the buff,the bottom,gen
3681,past   &the roof& <anag> of </anag> $the building$   and,of-genitive,the building,the roof,gen
3682,&the basement part& <anag> of </anag> $the buildings below$,of-genitive,the buildings below,the basement part,gen
3683,forgit   &the name& <anag> of </anag> $the buoy$   there,of-genitive,the buoy,the name,gen
3684,into   &the boot& <anag> of </anag> $the bus$   and,of-genitive,the bus,the boot,gen
3685,&the glove cutting part& <anag> of </anag> $the business$   .,of-genitive,the business,the glove cutting part,gen
3686,to   &the bottom& <anag> of </anag> $the cage$   and,of-genitive,the cage,the bottom,gen
3687,on   &the side& <anag> of </anag> $the car$   to,of-genitive,the car,the side,gen
3688,of   &the head& <anag> of </anag> $the carpentry work$,of-genitive,the carpentry work,the head,gen
3689,at   &the mouth& <anag> of </anag> $the cave$   and,of-genitive,the cave,the mouth,gen
3690,built   &the floor& <anag> of </anag> $the cellar$   up,of-genitive,the cellar,the floor,gen
3691,",   &the weight& <anag> of </anag> $the chain$   killed",of-genitive,the chain,the weight,gen
3692,were   &the mainstays& <anag> of </anag> $the chapel$   and,of-genitive,the chapel,the mainstays,gen
3693,"made   &the body& <anag> of </anag> $the china$   ,",of-genitive,the china,the body,gen
3694,was   &the heating& <anag> of </anag> $the church$   .,of-genitive,the church,the heating,gen
3695,down   &the side& <anag> of </anag> $the church$   and,of-genitive,the church,the side,gen
3696,was   &the schoolmaster& <anag> of </anag> $the church school$,of-genitive,the church school,the schoolmaster,gen
3697,was   th&e schoolmaster <&anag> of </anag> the church school a$$f </anag> the church school at,of-genitive,the church school at choppington,the schoolmaster,gen
3698,where   &the extension& <anag> of </anag> $the church yard cemet$,of-genitive,the church yard cemet,the extension,gen
3699,to   &the bottom& <anag> of </anag> $the churchyard$   you,of-genitive,the churchyard,the bottom,gen
3700,up   $the clione$ <syng>  s </syng> &mast&   . i,s-genitive,the clione,mast,gen
3701,to   &the basement& <anag> of </anag> $the cocoa house$,of-genitive,the cocoa house,the basement,gen
3702,was   &the offices& <anag> of </anag> $the colliery$   .,of-genitive,the colliery,the offices,gen
3703,"alter   &the depth& <anag> of </anag> $the copper$   ,",of-genitive,the copper,the depth,gen
3704,about   &the rent& <anag> of </anag> $the cottage$   ?,of-genitive,the cottage,the rent,gen
3705,",   &the feature& <anag> of </anag> $the cottages$   was",of-genitive,the cottages,the feature,gen
3706,was   &the atmosphere& <anag> of </anag> $the council meetings$,of-genitive,the council meetings,the atmosphere,gen
3707,the craiglea - eastick <syng>  s </syng> fi&rm  & again $$ick <syng>  s </syng> firm   again .,s-genitive,the craiglea-eastick,firm,gen
3708,was   &the forerunner& <anag> of </anag> $the creesote beatin' cotton$,of-genitive,the creesote beatin' cotton,the forerunner,gen
3709,all   &the crystals& <anag> of </anag> $the creosote$   .,of-genitive,the creosote,the crystals,gen
3710,for   &the production& <anag> of </anag> $the crops$   .,of-genitive,the crops,the production,gen
3711,"see   &the top& <anag> of </anag> $the cylinders$   ,",of-genitive,the cylinders,the top,gen
3712,in   &the corner& <anag> of </anag> $the dairy$   that,of-genitive,the dairy,the corner,gen
3713,from   &the brink& <anag> of </anag> $the ditch$   .,of-genitive,the ditch,the brink,gen
3714,an   th&e edges <&anag> of </anag> the ditches they cav$$f </anag> the ditches they cave,of-genitive,the ditches they cave in,the edges,gen
3715,&the further end& <anag> of </anag> $the dogger bank$,of-genitive,the dogger bank,the further end,gen
3716,into   &the funnel& <anag> of </anag> $the engine$   .,of-genitive,the engine,the funnel,gen
3717,of   &the top& <anag> of </anag> $the engine$   'ouse,of-genitive,the engine,the top,gen
3718,",   &the weight& <anag> of </anag> $the engine$   put",of-genitive,the engine,the weight,gen
3719,the fore   part <anag> of </anag> th$e engine  $ tha&&art <anag> of </anag> the engine   that,of-genitive,the engine,the fore part,gen
3720,&the fore part& <anag> of </anag> $the engine$   where,of-genitive,the engine,the fore part,gen
3721,"of   &the cylinder& <anag> of </anag> $the engine$   ,",of-genitive,the engine,the cylinder,gen
3722,"&the main part& <anag> of </anag> $the engine$   ,",of-genitive,the engine,the main part,gen
3723,&the front side& <anag> of </anag> $the engine$   ;,of-genitive,the engine,the front side,gen
3724,at   &the back& <anag> of </anag> $the engine$   and,of-genitive,the engine,the back,gen
3725,&the fore part& <anag> of </anag> $the engine$   next,of-genitive,the engine,the fore part,gen
3726,near   &the boilers& <anag> of </anag> $the engine house$,of-genitive,the engine house,the boilers,gen
3727,"remember   &the name& <anag> of </anag> $the factory$   ,",of-genitive,the factory,the name,gen
3728,s   &the name& <anag> of </anag> $the factory$   now,of-genitive,the factory,the name,gen
3729,whatòs   &the name& <anag> of </anag> $the farm$   ?,of-genitive,the farm,the name,gen
3730,&the higher part& <anag> of </anag> $the farm$   with,of-genitive,the farm,the higher part,gen
3731,"of   &the responsibility& <anag> of </anag> $the farm$   ,",of-genitive,the farm,the responsibility,gen
3732,of   &the profits& <anag> of </anag> $the farm$   .,of-genitive,the farm,the profits,gen
3733,"of   &the size& <anag> of </anag> $the farm$   ,",of-genitive,the farm,the size,gen
3734,inspect   &the condition& <anag> of </anag> $the farm$   ?,of-genitive,the farm,the condition,gen
3735,"down   &the centre& <anag> of </anag> $the field$   ,",of-genitive,the field,the centre,gen
3736,"about   &the centre& <anag> of </anag> $the field$   ,",of-genitive,the field,the centre,gen
3737,down   $the fish$ <syng>  s </syng> &throat&   and take,s-genitive,the fish,throat,gen
3738,only   &the frame& <anag> of </anag> $the fish$   there,of-genitive,the fish,the frame,gen
3739,by   &the colour& <anag> of </anag> $the flame$   that,of-genitive,the flame,the colour,gen
3740,"to   &the side& <anag> of </anag> $the float$   ,",of-genitive,the float,the side,gen
3741,"to   &the top& <anag> of </anag> $the furnace$   ,",of-genitive,the furnace,the top,gen
3742,was   $the galley$ <syng>  s </syng> &lads&   and there,s-genitive,the galley,lads,gen
3743,cut   &the pattern& <anag> of </anag> $the glove$   out,of-genitive,the glove,the pattern,gen
3744,with   &the prices& <anag> of </anag> $the goods you see$,of-genitive,the goods you see,the prices,gen
3745,&the great weight& <anag> of </anag> $the grandfathers clock$,of-genitive,the grandfathers clock,the great weight,gen
3746,hanging   &the side& <anag> of </anag> $the grate$   so,of-genitive,the grate,the side,gen
3747,seemingly   &the sister& <anag> of </anag> $the grieve$   came,of-genitive,the grieve,the sister,gen
3748,"for   &the owner& <anag> of </anag> $the hall$   ,",of-genitive,the hall,the owner,gen
3749,take   &the place& <anag> of </anag> $the hand ditching$,of-genitive,the hand ditching,the place,gen
3750,so   &the point& <anag> of </anag> $the hook$   was,of-genitive,the hook,the point,gen
3751,and   &the name& <anag> of </anag> $the house$   is,of-genitive,the house,the name,gen
3752,"and   &the name& <anag> of </anag> $the house$   ,",of-genitive,the house,the name,gen
3753,was   &the occupier& <anag> of </anag> $the house$   .,of-genitive,the house,the occupier,gen
3754,on   &the front& <anag> of </anag> $the house$   a,of-genitive,the house,the front,gen
3755,&the general atmosphere& <anag> of </anag> $the house$   ?,of-genitive,the house,the general atmosphere,gen
3756,in   &the backyard& <anag> of </anag> $the house again$,of-genitive,the house again,the backyard,gen
3757,th&e proper name <&anag> of </anag> the house as stand$$f </anag> the house as stands,of-genitive,the house as stands there,the proper name,gen
3758,&the full length& <anag> of </anag> $the infants' portion of the school$,of-genitive,the infants' portion of the school,the full length,gen
3759,what   &the title& <anag> of </anag> $the job$   was,of-genitive,the job,the title,gen
3760,"for   &the fact& <anag> of </anag> $the job$   ,",of-genitive,the job,the fact,gen
3761,",   &the length& <anag> of </anag> $the kettle nets$",of-genitive,the kettle nets,the length,gen
3762,of   &the height& <anag> of </anag> $the kiln$   in,of-genitive,the kiln,the height,gen
3763,"in   &the mouth& <anag> of </anag> $the kiln$   ,",of-genitive,the kiln,the mouth,gen
3764,"just   &the remainder& <anag> of </anag> $the kilns$   ,",of-genitive,the kilns,the remainder,gen
3765,in   &the corner& <anag> of </anag> $the kitchen$   down,of-genitive,the kitchen,the corner,gen
3766,as   &the top& <anag> of </anag> $the lades$   .,of-genitive,the lades,the top,gen
3767,above   &the top& <anag> of </anag> $the lades$   you,of-genitive,the lades,the top,gen
3768,to   &the bind& <anag> of </anag> $the last one$,of-genitive,the last one,the bind,gen
3769,were   &the duties& <anag> of </anag> $the levelhand$   ?,of-genitive,the levelhand,the duties,gen
3770,",   &the duties& <anag> of </anag> $the levelhand$   was",of-genitive,the levelhand,the duties,gen
3771,betwin   &the bow& <anag> of </anag> $the lightship$   an',of-genitive,the lightship,the bow,gen
3772,ca>   $the lings$ <syng>  s </syng> &relation&   . <u,s-genitive,the lings,relation,gen
3773,",   &the remains& <anag> of </anag> $the little pier$",of-genitive,the little pier,the remains,gen
3774,that   &the back& <anag> of </anag> $the lobster$   split,of-genitive,the lobster,the back,gen
3775,by   &the movement& <anag> of </anag> $the loco$   .,of-genitive,the loco,the movement,gen
3776,&the most valuable& <anag> of </anag> $the lot$   .,of-genitive,the lot,the most valuable,gen
3777,&the biggest funeral& <anag> of </anag> $the lot$   .,of-genitive,the lot,the biggest funeral,gen
3778,"being   &the youngster& <anag> of </anag> $the lot$   ,",of-genitive,the lot,the youngster,gen
3779,well   &the lord& <anag> of </anag> $the manor$   lived,of-genitive,the manor,the lord,gen
3780,was   &the lord& <anag> of </anag> $the manor$   and,of-genitive,the manor,the lord,gen
3781,&the narrow part& <anag> of </anag> $the market$   in,of-genitive,the market,the narrow part,gen
3782,&the next part& <anag> of </anag> $the market which was by the beehive$,of-genitive,the market which was by the beehive,the next part,gen
3783,was   &the boss& <anag> of </anag> $the mason$   up,of-genitive,the mason,the boss,gen
3784,on   &the side& <anag> of </anag> $the mast$   like,of-genitive,the mast,the side,gen
3785,&the other side& <anag> of </anag> $the mast$   and,of-genitive,the mast,the other side,gen
3786,on   &the quality& <anag> of <anag> $the material$   .,of-genitive,the material,the quality,gen
3787,hear   &the clink& <anag> of </anag> $the milk churn$,of-genitive,the milk churn,the clink,gen
3788,say   &the coming& <anag> of </anag> $the milk marketing$,of-genitive,the milk marketing,the coming,gen
3789,(/reg)   &the bottom& <anag> of </anag> $the mill$   was,of-genitive,the mill,the bottom,gen
3790,were   &the owners& <anag> of </anag> $the mill$   ?,of-genitive,the mill,the owners,gen
3791,also   &the closure& <anag> of </anag> $the mill here in the dingle$,of-genitive,the mill here in the dingle,the closure,gen
3792,in   &the days& <anag> of </anag> $the mines and furnaces in this area$,of-genitive,the mines and furnaces in this area,the days,gen
3793,.   &the value& <anag> of </anag> $the money$   today,of-genitive,the money,the value,gen
3794,in   &the bowl& <anag> of </anag> $the mould$   .,of-genitive,the mould,the bowl,gen
3795,"to   &the overhang& <anag> of </anag> $the moustache$   ,",of-genitive,the moustache,the overhang,gen
3796,&the big feature& <anag> of </anag> $the music$   was,of-genitive,the music,the big feature,gen
3797,&the first issue& <anag> of </anag> $the national savings certificates$,of-genitive,the national savings certificates,the first issue,gen
3798,&the very end& <anag> of </anag> $the nets$   ?,of-genitive,the nets,the very end,gen
3799,down   &the bind& <anag> of </anag> $the next sheaf$,of-genitive,the next sheaf,the bind,gen
3800,was   &the remains& <anag> of </anag> $the old canal which extended in my day to the start of tornrny shop row$,of-genitive,the old canal which extended in my day to the start of tornrny shop row,the remains,gen
3801,on   &the remains& <anag> of </anag> $the old charcoal hearths$,of-genitive,the old charcoal hearths,the remains,gen
3802,on   &the site& <anag> of </anag> $the old engine house$,of-genitive,the old engine house,the site,gen
3803,",   th&e site <&anag> of </anag> the old general gordon at the werp$$gordon at the werps",of-genitive,the old general gordon public house at the werps,the site,gen
3804,at   &the site& <anag> of </anag> $the old lawley furnaces$,of-genitive,the old lawley furnaces,the site,gen
3805,was   th&e foundation <&anag> of </anag> the old vestry sunda$$ of </anag> the old vestry sunday,of-genitive,the old vestry sunday school,the foundation,gen
3806,with   $the onions$ <syng> ' </syng> &name&   on them,s-genitive,the onions,name,gen
3807,and   &the skipper& <anag> of </anag> $the other boat$,of-genitive,the other boat,the skipper,gen
3808,$the ow ship$ <syng>  s </syng> &husbands&   . when,s-genitive,the ow ship,husbands,gen
3809,to   &the right& <anag> of </anag> $the park inn$,of-genitive,the park inn,the right,gen
3810,on   &the floor& <anag> of </anag> $the passage$   ?,of-genitive,the passage,the floor,gen
3811,-   &the smoke& <anag> of </anag> $the peats$   is,of-genitive,the peats,the smoke,gen
3812,smell   &the smell& <anag> of </anag> $the peats$   of,of-genitive,the peats,the smell,gen
3813,on   $the pigeon$ <syng>  s </syng> &foot&   and let,s-genitive,the pigeon,foot,gen
3814,put   &the dummy& <anag> of </anag> $the pipe$   into,of-genitive,the pipe,the dummy,gen
3815,"&north or east side& <anag> of </anag> $the pit$   ,",of-genitive,the pit,north or east side,gen
3816,s   &the name& <anag> of </anag> $the pit$   and,of-genitive,the pit,the name,gen
3817,was   &the name& <anag> of </anag> $the place$   now,of-genitive,the place,the name,gen
3818,was   &the name& <anag> of </anag> $the place$   ?,of-genitive,the place,the name,gen
3819,to   &the owners& <anag> of </anag> $the place$   of,of-genitive,the place,the owners,gen
3820,"forget   &the name& <anag> of </anag> $the place$   ,",of-genitive,the place,the name,gen
3821,saw   &the state& <anag> of </anag> $the place$   we,of-genitive,the place,the state,gen
3822,"remember   &the name& <anag> of </anag> $the place$   ,",of-genitive,the place,the name,gen
3823,for   &the size& <anag> of </anag> $the place$   .,of-genitive,the place,the size,gen
3824,is   &the name& <anag> of </anag> $the place$   now,of-genitive,the place,the name,gen
3825,was   &the name& <anag> of </anag> $the place$   now,of-genitive,the place,the name,gen
3826,do   &the oiling& <anag> of </anag> $the ploughs$   and,of-genitive,the ploughs,the oiling,gen
3827,&the east side& <anag> of </anag> $the point$   it,of-genitive,the point,the east side,gen
3828,was   &the name& <anag> of </anag> $the pole$   ?,of-genitive,the pole,the name,gen
3829,over   &the top& <anag> of </anag> $the poles$   .,of-genitive,the poles,the top,gen
3830,saw   &the disappearance& <anag> of </anag> $the pooks$   ?,of-genitive,the pooks,the disappearance,gen
3831,.   &the contents& <anag> of </anag> $the poor box$,of-genitive,the poor box,the contents,gen
3832,"$the poor thing$ <syng>  s </syng> &tail&   , hanging ",s-genitive,the poor thing,tail,gen
3833,&the official book& <anag> of </anag> $the post office$,of-genitive,the post office,the official book,gen
3834,over   &the surface& <anag> of </anag> $the pot$   ?,of-genitive,the pot,the surface,gen
3835,with   &the name& <anag> of </anag> $the pottery$   ?,of-genitive,the pottery,the name,gen
3836,"about   &the end& <anag> of </anag> $the pottery$   ,",of-genitive,the pottery,the end,gen
3837,"towards   &the end& <anag> of </anag> $the process$   ,",of-genitive,the process,the end,gen
3838,whatòs   &the name& <anag> of </anag> $the pub$   in,of-genitive,the pub,the name,gen
3839,s   &the name& <anag> of </anag> $the pub$   now,of-genitive,the pub,the name,gen
3840,was   &the name& <anag> of </anag> $the pub$   ?,of-genitive,the pub,the name,gen
3841,"know   &the name& <anag> of </anag> $the pub$   ,",of-genitive,the pub,the name,gen
3842,remember   &the name& <anag> of </anag> $the pub$   that,of-genitive,the pub,the name,gen
3843,"with   &the exception& <anag> of </anag> $the pub$   ,",of-genitive,the pub,the exception,gen
3844,do   &the beating& <anag> of </anag> $the pulps$   you,of-genitive,the pulps,the beating,gen
3845,-   th&e forerunner <&anag> of </anag> the purse - sein$$ <anag> of </anag> the purse - seine,of-genitive,the purse-seine net,the forerunner,gen
3846,was   th&e forerunner <&anag> of </anag> the purse - sein$$er <anag> of </anag> the purse - seine,of-genitive,the purse-seine net,the forerunner,gen
3847,-   th&e forerunner <&anag> of </anag> the purse - sein$$ <anag> of </anag> the purse - seine,of-genitive,the purse-seine net,the forerunner,gen
3848,s   &the residue& <anag> of </anag> $the quarries$   .,of-genitive,the quarries,the residue,gen
3849,&the old drying sheds& <anag> of </anag> $the quarry$   and,of-genitive,the quarry,the old drying sheds,gen
3850,witnessed   &the closure& <anag> of </anag> $the railway here$,of-genitive,the railway here,the closure,gen
3851,.   &the price& <anag> of </anag> $the rent$   was,of-genitive,the rent,the price,gen
3852,bring   &the head& <anag> of </anag> $the rick$   in,of-genitive,the rick,the head,gen
3853,"in   &the middle& <anag> of </anag> $the rick$   ,",of-genitive,the rick,the middle,gen
3854,the inside   bank <anag> of </anag> th$e ridges  $ woul&&ank <anag> of </anag> the ridges   would,of-genitive,the ridges,the inside bank,gen
3855,"about   &the surface& <anag> of </anag> $the road$   ,",of-genitive,the road,the surface,gen
3856,on   &the corner& <anag> of </anag> $the road$   .,of-genitive,the road,the corner,gen
3857,&the narrowest part& <anag> of </anag> $the roads$   are,of-genitive,the roads,the narrowest part,gen
3858,in   &the top& <anag> of </anag> $the roof$   and,of-genitive,the roof,the top,gen
3859,at   &the bottom& <anag> of </anag> $the sail$   and,of-genitive,the sail,the bottom,gen
3860,"up   &the wall& <anag> of </anag> $the saloon$   ,",of-genitive,the saloon,the wall,gen
3861,&the top scholars& <anag> of </anag> $the school$   .,of-genitive,the school,the top scholars,gen
3862,get   &the structure& <anag> of </anag> $the school$   right,of-genitive,the school,the structure,gen
3863,"for   &the headmaster& <anag> of </anag> $the school$   ,",of-genitive,the school,the headmaster,gen
3864,&the head mistress& <anag> of </anag> $the school$   was,of-genitive,the school,the head mistress,gen
3865,"walk   &the length& <anag> of </anag> $the school$   ,",of-genitive,the school,the length,gen
3866,",   &the headmaster& <anag> of </anag> $the school$   ,",of-genitive,the school,the headmaster,gen
3867,"&the first headmaster& <anag> of </anag> $the school$   ,",of-genitive,the school,the first headmaster,gen
3868,for   &the honour& <anag> of </anag> $the school$   .,of-genitive,the school,the honour,gen
3869,and   &the patron& <anag> of </anag> $the schools$   then,of-genitive,the schools,the patron,gen
3870,thatòs   &the heel& <anag> of </anag> $the scythe$   ?,of-genitive,the scythe,the heel,gen
3871,along   &the bottom& <anag> of </anag> $the sea wall$,of-genitive,the sea wall,the bottom,gen
3872,on   $the second$ <syng>  s </syng> &watch&   . course,s-genitive,the second,watch,gen
3873,",   &the impact& <anag> of </anag> $the second world war$",of-genitive,the second world war,the impact,gen
3874,&the flimsy tops& <anag> of </anag> $the shaft coverings$,of-genitive,the shaft coverings,the flimsy tops,gen
3875,"on   &the edge& <anag> of </anag> $the shafts$   ,",of-genitive,the shafts,the edge,gen
3876,"from   &the butt& <anag> of </anag> $the sheaf$   ,",of-genitive,the sheaf,the butt,gen
3877,&the widest part& <anag> of </anag> $the sheaf$   .,of-genitive,the sheaf,the widest part,gen
3878,on   &the flat& <anag> of </anag> $the sheaf$   .,of-genitive,the sheaf,the flat,gen
3879,put   &the butt& <anag> of </anag> $the sheaf$   here,of-genitive,the sheaf,the butt,gen
3880,"&the butt end& <anag> of </anag> $the sheaf$   ,",of-genitive,the sheaf,the butt end,gen
3881,on   $the ship$ <syng>  s </syng> &carts&   . so,s-genitive,the ship,carts,gen
3882,near   $the ship$ <syng>  s </syng> &sise&   . you,s-genitive,the ship,sise,gen
3883,was   &the name& <anag> of </anag> $the ship$   ;,of-genitive,the ship,the name,gen
3884,"was   $the ship$ <syng>  s </syng> &husband&   , lookin'",s-genitive,the ship,husband,gen
3885,what   &the name& <anag> of </anag> $the ship$   was,of-genitive,the ship,the name,gen
3886,as   th$e ship <$syng>  s </syng> casin'   . &&the ship <syng>  s </syng> casin'   . i,s-genitive,the ship,casing,gen
3887,on   &the side& <anag> of </anag> $the ship$   anywhere,of-genitive,the ship,the side,gen
3888,&the fore prt& <anag> of </anag> $the ship$   .,of-genitive,the ship,the fore prt,gen
3889,at   &the stern& <anag> of </anag> $the ship$   .,of-genitive,the ship,the stern,gen
3890,along   $the ship$ <syng>  s </syng> &side&   . yeah,s-genitive,the ship,side,gen
3891,"or   $the ship$ <syng>  s </syng> &husband&   , normally",s-genitive,the ship,husband,gen
3892,normall   $the ship$ <syng>  s </syng> &husband&   an' he,s-genitive,the ship,husband,gen
3893,"was   &the captain& <anag> of </anag> $the ship$   ,",of-genitive,the ship,the captain,gen
3894,f'git   &the names& <anag> of </anag> $the ships$   he,of-genitive,the ships,the names,gen
3895,all   &the tails& <anag> of </anag> $the skat$   orf,of-genitive,the skat,the tails,gen
3896,o'   $the smack$ <syng>  s </syng> &name&   at the,s-genitive,the smack,name,gen
3897,see   th&e crew <&anag> of </anag> the smithòs knol$$anag> of </anag> the smithòs knoll,of-genitive,the smith's knoll,the crew,gen
3898,in   &the door& <anag> of </anag> $the smuddy$   when,of-genitive,the smuddy,the door,gen
3899,in   &the door& <anag> of </anag> $the smuddy$   and,of-genitive,the smuddy,the door,gen
3900,"put   &the length& <anag> of </anag> $the spades$   ,",of-genitive,the spades,the length,gen
3901,on   &the committee& <anag> of </anag> $the sport$   for,of-genitive,the sport,the committee,gen
3902,&the chief engineer& <anag> of </anag> $the ss ukon$,of-genitive,the ss ukon,the chief engineer,gen
3903,keep   &the middle& <anag> of </anag> $the stack$   well,of-genitive,the stack,the middle,gen
3904,were   &the makers& <anag> of </anag> $the steam machines$,of-genitive,the steam machines,the makers,gen
3905,&the youngest son& <anag> of </anag> $the steel works$,of-genitive,the steel works,the youngest son,gen
3906,to   &the closure& <anag> of </anag> $the stirchley furnaces$,of-genitive,the stirchley furnaces,the closure,gen
3907,"&the butt end& <anag> of </anag> $the straw$   ,",of-genitive,the straw,the butt end,gen
3908,&the last pickings& <anag> of </anag> $the stuff$   .,of-genitive,the stuff,the last pickings,gen
3909,&the further end& <anag> of </anag> $the terrace$   and,of-genitive,the terrace,the further end,gen
3910,the whole   length <anag> of </anag> th$e thing  $ wit&&gth <anag> of </anag> the thing   with,of-genitive,the thing,the whole length,gen
3911,learnd   &the etiquette& <anag> of </anag> $the thing$   .,of-genitive,the thing,the etiquette,gen
